EPSG CODE,PROJECTION NAME
2157,Irenet95
2180,ETRS89 Pol. CS92
2193,NZGD2000
2225,NAD83 Cali 1 ft
2226,NAD83 Cali 2 ft
2227,NAD83 Cali 3 ft
2228,NAD83 Cali 4 ft
2229,NAD83 Cali 5 ft
2230,NAD83 Cali 6 ft
2248,NAD83 Maryland ft
2277,NAD83 Texas C ft
2855,NAD83-H Wash N
2856,NAD83-H Wash S
2875,NAD83-H Cali 6 ft
2924,NAD83-H Virg N ft
2925,NAD83-H Virg S ft
2926,NAD83-H Wash N ft
2927,NAD83-H Wash S ft
2945,NAD83 CSRS MTM 3
2946,NAD83 CSRS MTM 4
2947,NAD83 CSRS MTM 5
2948,NAD83 CSRS MTM 6
2949,NAD83 CSRS MTM 7
2972,RGF Guyane 1995
2991,NAD83 Oreg Lamb
3005,NAD83 BC Albers
3006,SWEREF99 TM
3034,ETRS89 ETRS LCC
3046,ETRS89 ETRS TM34
3047,ETRS89 ETRS TM35
3048,ETRS89 ETRS TM36
3116,MAGNA SIRGAS Bog
3141,Fiji 1956 UTM60 S
3142,Fiji 1956 UTM1 S
3308,GDA94 NSW Lamb
3414,SVY21 Sing TM
3460,Fiji Grid 1986
3753,NAD83-H Ohio N ft
3754,NAD83-H Ohio S ft
3763,ETRS89 Port TM06
3794,Slovenia 1996
3878,ETRS89 GK24FIN
3912,MGI 1901 Slovene
3944,RGF93 CC44
3945,RGF93 CC45
3946,RGF93 CC46
3947,RGF93 CC47
4093,ETRS89 DKTM1
4094,ETRS89 DKTM2
4095,ETRS89 DKTM3
4096,ETRS89 DKTM4
5071,NAD83-H Albers
5072,NAD83-2007 Albers
5105,ETRS89 NTM 5
5106,ETRS89 NTM 6
5107,ETRS89 NTM 7
5108,ETRS89 NTM 8
5109,ETRS89 NTM 9
5110,ETRS89 NTM 10
5111,ETRS89 NTM 11
5112,ETRS89 NTM 12
5113,ETRS89 NTM 13
5114,ETRS89 NTM 14
5115,ETRS89 NTM 15
5116,ETRS89 NTM 16
5117,ETRS89 NTM 17
5118,ETRS89 NTM 18
5119,ETRS89 NTM 19
5120,ETRS89 NTM 20
5121,ETRS89 NTM 21
5122,ETRS89 NTM 22
5123,ETRS89 NTM 23
5124,ETRS89 NTM 24
5125,ETRS89 NTM 25
5126,ETRS89 NTM 26
5127,ETRS89 NTM 27
5128,ETRS89 NTM 28
5129,ETRS89 NTM 29
5130,ETRS89 NTM 30
5650,ETRS89 UTM33 zE N
6350,NAD83-2011 Albers
21781,CH1903 LV03
23700,EOV HD72
27700,OSGB 1936
31370,Belge Lamb 1972
